name,rest_type
Sattvam,Casual Dining
24th Main,Casual Dining
Zaitoon,Casual Dining
Mango Greens,Casual Dining
Oye Amritsar,Casual Dining
Melt - Eden Park,Casual Dining
Crave Bit Cafe,Cafe
Spice Code,Casual Dining
The Onyx - The HHI Select Bengaluru,Casual Dining
The Pavillion,Casual Dining
Sankranthi Veg Restaurant,Casual Dining
Tisano Cafe,Cafe
Cafe Kabana,Cafe
Butterly,Cafe
Cafe Conico,Cafe
Black Mug Cafe,Cafe
#refuel,Cafe
WAFL,Food Court
Vaho Kafe & Pressery,Cafe
Dreamcatcher,Cafe
Cafe Coffee Day,Cafe
Cafe Arabica,Cafe
Cafe Arabica,Bakery
Starbucks,Cafe
Smoor,Dessert Parlor
